Type;TakeProfit;StopLoss;OpenLong;OpenShort;Amount;Opened;Closed;OpenPrice;ClosePrice;Profit
Long;194,76474609375;191,6732421875;194,1850891113281;192,25289916992188;5;11-12-2023 15:30:00;11-12-2023 17:14:00;193,218994140625;191,63999938964844;-7,8949737548828125
Short;191,6732421875;194,76474609375;194,1850891113281;192,25289916992188;5;11-12-2023 15:30:00;11-12-2023 17:14:00;193,218994140625;191,63999938964844;7,8949737548828125
Short;190,67232666015624;193,74768676757813;193,1710567474365;191,24895668029785;5;11-12-2023 16:12:00;12-12-2023 19:10:00;192,2100067138672;193,76499938964844;-7,77496337890625
Short;190,6822412109375;193,75776123046876;193,18110122680662;191,2589012145996;5;11-12-2023 16:14:00;12-12-2023 19:10:00;192,22000122070312;193,76499938964844;-7,7249908447265625
Long;194,74056738281251;191,64944726562499;194,16098236083982;192,22903228759765;5;11-12-2023 21:58:00;13-12-2023 15:30:00;193,19500732421875;195,08999633789062;9,474945068359375
Long;194,77080615234374;191,6792060546875;194,19113113403318;192,25888107299804;5;11-12-2023 21:59:00;13-12-2023 15:30:00;193,22500610351562;195,08999633789062;9,324951171875
Long;195,7384775390625;192,631517578125;195,1559225463867;193,21407257080077;5;12-12-2023 20:04:00;13-12-2023 15:35:00;194,18499755859375;196,1678009033203;9,914016723632812
Long;195,75359692382813;192,64639697265625;195,17099693298337;193,22899696350098;5;12-12-2023 20:06:00;13-12-2023 15:35:00;194,1999969482422;196,1678009033203;9,839019775390625
Long;197,09423876953124;193,9657587890625;196,50764877319335;194,5523487854004;5;13-12-2023 15:31:00;13-12-2023 20:03:00;195,52999877929688;197,11270141601562;7,91351318359375
Long;197,16328344726563;194,03370751953125;196,5764879608154;194,62050300598145;5;13-12-2023 15:32:00;13-12-2023 20:06:00;195,59849548339844;197,17999267578125;7,9074859619140625
Long;198,09719384765626;194,9527939453125;197,50761886596678;195,54236892700195;5;13-12-2023 16:30:00;14-12-2023 15:30:00;196,52499389648438;198,67999267578125;10,774993896484375
Long;198,15768676757813;195,01232666015625;197,5679317474365;195,60208168029786;5;13-12-2023 16:31:00;14-12-2023 15:30:00;196,5850067138672;198,67999267578125;10,474929809570312
Long;198,68960302734376;195,53579980468749;198,09826492309568;196,12713790893554;5;13-12-2023 20:03:00;14-12-2023 15:31:00;197,11270141601562;199,11000061035156;9,986495971679688
Long;199,12031323242186;195,95967333984376;198,52769325256347;196,55229331970216;5;13-12-2023 20:41:00;14-12-2023 15:32:00;197,5399932861328;199,44000244140625;9,500045776367188
Long;200,70288061523436;197,51712060546876;200,1055506134033;198,1144506072998;5;14-12-2023 15:31:00;14-12-2023 19:01:00;199,11000061035156;197,40499877929688;-8,525009155273438
Long;200,2694326171875;197,090552734375;199,67339263916014;197,68659271240233;5;14-12-2023 15:30:00;14-12-2023 19:19:00;198,67999267578125;197,08999633789062;-7,949981689453125
Short;196,43584423828125;199,60416430664063;199,01010429382322;197,02990425109863;5;14-12-2023 17:44:00;14-12-2023 19:53:00;198,02000427246094;196,32000732421875;8,499984741210938
Short;196,42591455078124;199,59407446289063;199,0000444793701;197,01994453430174;5;14-12-2023 17:48:00;14-12-2023 19:53:00;198,00999450683594;196,32000732421875;8,449935913085938
Short;194,60063818359376;197,73935815429687;197,15084815979003;195,1891481781006;5;14-12-2023 19:54:00;14-12-2023 20:27:00;196,1699981689453;197,8000030517578;-8,1500244140625
Short;194,749447265625;197,8905673828125;197,30160736083982;195,33840728759765;5;14-12-2023 19:53:00;14-12-2023 20:30:00;196,32000732421875;197,89500427246094;-7,8749847412109375
Short;195,8257587890625;198,98423876953126;198,39202377319333;196,4179737854004;5;14-12-2023 19:01:00;15-12-2023 21:59:00;197,40499877929688;197,72999572753906;-1,6249847412109375
Short;195,33967333984376;198,49031323242187;197,89956825256345;195,93041831970214;5;14-12-2023 19:21:00;15-12-2023 21:59:00;196,9149932861328;197,72999572753906;-4,07501220703125
Long;199,38240307617187;196,21760302734376;198,78900306701658;196,81100303649902;5;14-12-2023 20:27:00;15-12-2023 21:59:00;197,8000030517578;197,72999572753906;-0,35003662109375
Long;199,49831323242188;196,33167333984375;198,90456825256345;196,92541831970215;5;14-12-2023 21:04:00;15-12-2023 21:59:00;197,9149932861328;197,72999572753906;-0,92498779296875
